Type,Category,Japanese,Korean_Translation
Adjective,감정성격,かわいい,귀여운
Adjective,감정성격,愛らしい,사랑스러운
Adjective,감정성격,素敵な,멋진
Adjective,감정성격,親しみやすい,친근한
Adjective,감정성격,優しい,온순한
Adjective,감정성격,クールな,쿨한
Adjective,감정성격,シックな,시크한
Adjective,감정성격,かっこいい,멋있는
Adjective,감정성격,カリスマ的な,카리스마있는
Adjective,감정성격,センスのある,센스있는
Adjective,감정성격,元気な,활기찬
Adjective,감정성격,活発な,활발한
Adjective,감정성격,エネルギッシュな,에너지 넘치는
Adjective,감정성격,楽しい,즐거운
Adjective,감정성격,テンション高い,텐션높은
Adjective,감정성격,落ち着いた,차분한
Adjective,감정성격,穏やかな,온화한
Adjective,감정성격,温かい,따뜻한
Adjective,감정성격,居心地よい,편안한
Adjective,감정성격,癒される,치유되는
Adjective,감정성격,ユニークな,독특한
Adjective,감정성격,特別な,특별한
Adjective,감정성격,個性的な,개성적인
Adjective,감정성격,独特な,독특한
Adjective,감정성격,オリジナルな,오리지날한
Adjective,감정성격,面白い,재미있는
Adjective,감정성격,おかしい,우스운
Adjective,감정성격,ユーモラスな,유머러스한
Adjective,감정성격,ウィットに富んだ,위트있는
Adjective,트렌드표현,ホットな,핫한
Adjective,트렌드표현,トレンディな,트렌디한
Adjective,트렌드표현,ヒップな,힙한
Adjective,트렌드표현,モダンな,모던한
Adjective,트렌드표현,スタイリッシュな,스타일리시한
Adjective,트렌드표현,バイブのいい,바이브좋은
Adjective,트렌드표현,ムーディな,무디한
Adjective,트렌드표현,感性的な,감성적인
Adjective,트렌드표현,ロマンチック,로맨틱한
Adjective,트렌드표현,夢のような,꿈같은
Adjective,트렌드표현,インサイダーな,인사이더적인
Adjective,트렌드표현,本格的な,본격적인
Adjective,트렌드표현,リアルな,리얼한
Adjective,트렌드표현,オーセンティック,오센틱한
Adjective,트렌드표현,完璧な,완벽한
Adjective,트렌드표현,レジェンド級,레전드급
Adjective,트렌드표현,史上最高の,역대최고의
Adjective,트렌드표현,最高の,최고의
Adjective,트렌드표현,本物の,진짜
Adjective,트렌드표현,真の,진정한
Adjective,음성사운드,甘い,달콤한
Adjective,음성사운드,ハスキーな,허스키한
Adjective,음성사운드,爽やかな,상쾌한
Adjective,음성사운드,澄んだ,맑은
Adjective,음성사운드,きれいな,깨끗한
Adjective,음성사운드,柔らかい,부드러운
Adjective,음성사운드,甘美な,감미로운
Adjective,음성사운드,魅惑的な,매혹적인
Adjective,음성사운드,深い,깊은
Adjective,음성사운드,軽快な,경쾌한
Adjective,음성사운드,リズミカルな,리드미컬한
Adjective,음성사운드,メロディカルな,멜로디컬한
Adjective,음성사운드,ハーモニアス,하모니어스한
Adjective,음성사운드,パワフルな,파워풀한
Adjective,음성사운드,強烈な,강렬한
Adjective,음성사운드,インパクトのある,임팩트있는
Adjective,음성사운드,壮大な,웅장한
Adjective,일본감성,繊細な,섬세한
Adjective,일본감성,上品な,상품한
Adjective,일본감성,雅な,우아한
Adjective,일본감성,風流な,풍류로운
Adjective,일본감성,情緒ある,정서있는
Adjective,일본감성,侘しい,쓸쓸한
Adjective,일본감성,寂しい,외로운
Adjective,일본감성,物悲しい,애절한
Adjective,일본감성,切ない,애틋한
Adjective,일본감성,清楚な,청초한
Adjective,일본감성,純粋な,순수한
Adjective,일본감성,清らかな,맑은
Adjective,일본감성,美しい,아름다운
Adjective,일본감성,奥ゆかしい,은근한
Adjective,일본감성,控えめな,겸손한
Adjective,일본감성,慎ましい,신중한
Noun,동물,猫,고양이
Noun,동물,犬,개
Noun,동물,兎,토끼
Noun,동물,鼠,쥐
Noun,동물,熊猫,판다
Noun,동물,無尾熊,코알라
Noun,동물,鵬鳥,펭귄
Noun,동물,白熊,북극곰
Noun,동물,海豚,돌고래
Noun,동물,鯨,고래
Noun,동물,海豹,바다표범
Noun,동물,獺,수달
Noun,동물,鷲,독수리
Noun,동물,梟,부엉이
Noun,동물,鸚鵡,앵무새
Noun,동물,鶴,학
Noun,동물,白鳥,백조
Noun,동물,獅子,사자
Noun,동물,虎,호랑이
Noun,동물,狐,여우
Noun,동물,狼,늑대
Noun,동물,熊,곰
Noun,동물,鹿,사슴
Noun,동물,一角獣,유니콘
Noun,동물,竜,용
Noun,동물,鳳凰,봉황
Noun,동물,天使,천사
Noun,동물,妖精,요정
Noun,디저트단맛,餅,떡
Noun,디저트단맛,団子,경단
Noun,디저트단맛,饅頭,만두
Noun,디저트단맛,煎餅,센베이
Noun,디저트단맛,羊羹,양갱
Noun,디저트단맛,苺,딸기
Noun,디저트단맛,桜桃,체리
Noun,디저트단맛,桃,복숭아
Noun,디저트단맛,果物,과일
Noun,디저트단맛,莓類,베리류
Noun,디저트단맛,巧克力,초콜릿
Noun,디저트단맛,焦糖,카라멜
Noun,디저트단맛,香草,바닐라
Noun,디저트단맛,薄荷,민트
Noun,디저트단맛,檸檬,레몬
Noun,디저트단맛,橙,오렌지
Noun,디저트단맛,蜜,꿀
Noun,디저트단맛,砂糖,설탕
Noun,디저트단맛,甘味,단맛
Noun,디저트단맛,菓子,과자
Noun,디저트단맛,和菓子,화과자
Noun,색상질감,桜色,벚꽃색
Noun,색상질감,緑,초록
Noun,색상질감,紫,보라
Noun,색상질감,赤,빨강
Noun,색상질감,青,파랑
Noun,색상질감,白,하양
Noun,색상질감,黒,검정
Noun,색상질감,銀,은색
Noun,색상질감,金,금색
Noun,색상질감,虹色,무지개색
Noun,색상질감,淡色,연한색
Noun,색상질감,漸變,그라데이션
Noun,색상질감,全息,홀로그램
Noun,색상질감,珍珠,펄
Noun,색상질감,霧面,무광
Noun,색상질감,光澤,광택
Noun,색상질감,金屬,메탈
Noun,색상질감,霓虹,네온
Noun,색상질감,閃爍,반짝임
Noun,감정추상,物の哀れ,모노노아와레
Noun,감정추상,侘寂,와비사비
Noun,감정추상,粋,이키
Noun,감정추상,心,마음
Noun,감정추상,魂,영혼
Noun,감정추상,気持ち,기분
Noun,감정추상,涙,눈물
Noun,감정추상,笑顔,미소
Noun,감정추상,夢,꿈
Noun,감정추상,希望,희망
Noun,감정추상,愛,사랑
Noun,감정추상,友達,친구
Noun,감정추상,家族,가족
Noun,감정추상,精神,정신
Noun,감정추상,感情,감정
Noun,감정추상,気分,기분
Noun,감정추상,思い出,추억
Noun,감정추상,懐かしさ,그리움
Noun,감정추상,憧れ,동경
Noun,감정추상,幻想,환상
Noun,음악엔터,歌手,가수
Noun,음악엔터,声優,성우
Noun,음악엔터,配音員,더빙성우
Noun,음악엔터,製作人,프로듀서
Noun,음악엔터,鋼琴,피아노
Noun,음악엔터,小提琴,바이올린
Noun,음악엔터,吉他,기타
Noun,음악엔터,鼓,드럼
Noun,음악엔터,長笛,플루트
Noun,음악엔터,旋律,선율
Noun,음악엔터,和聲,화성
Noun,음악엔터,節奏,리듬
Noun,음악엔터,合唱,합창
Noun,음악엔터,前奏,전주
Noun,음악엔터,現場演出,라이브공연
Noun,음악엔터,音樂會,콘서트
Noun,음악엔터,慶典,페스티벌
Noun,음악엔터,卡拉OK,노래방
Noun,음악엔터,音響師,음향기사
Noun,음악엔터,主持人,진행자
Noun,음악엔터,串流主,스트리머
Noun,음악엔터,說唱歌手,래퍼
Noun,시간공간,深夜,심야
Noun,시간공간,日出,일출
Noun,시간공간,日落,일몰
Noun,시간공간,黄昏,황혼
Noun,시간공간,月亮,달
Noun,시간공간,太陽,태양
Noun,시간공간,星星,별
Noun,시간공간,宇宙,우주
Noun,시간공간,房間,방
Noun,시간공간,空間,공간
Noun,시간공간,工作室,작업실
Noun,시간공간,劇場,극장
Noun,시간공간,舞台,무대
Noun,시간공간,瞬間,순간
Noun,시간공간,立即,즉시
Noun,시간공간,永恆,영원
Noun,시간공간,永遠,영원
Noun,감각체험,触感,촉감
Noun,감각체험,温度,온도
Noun,감각체험,香り,향기
Noun,감각체험,味,맛
Noun,감각체험,響き,울림
Noun,감각체험,記憶,기억
Noun,감각체험,瞬間,순간
Noun,감각체험,永続,영속
Noun,감각체험,変化,변화
Noun,감각체험,静寂,정적
Noun,감각체험,騒音,소음
Noun,감각체험,調和,조화
Noun,감각체험,混沌,혼돈
Noun,감각체험,光,빛
Noun,감각체험,影,그림자
Noun,감각체험,明,밝음
Noun,감각체험,暗,어둠