Type,Category,Korean,English_Translation
Adjective,감정성격,귀여운,cute
Adjective,감정성격,사랑스러운,lovely
Adjective,감정성격,매력적인,charming
Adjective,감정성격,친근한,friendly
Adjective,감정성격,상냥한,kind
Adjective,감정성격,쿨한,cool
Adjective,감정성격,시크한,chic
Adjective,감정성격,멋진,awesome
Adjective,감정성격,카리스마있는,charismatic
Adjective,감정성격,센스있는,sensible
Adjective,감정성격,발랄한,cheerful
Adjective,감정성격,활기찬,energetic
Adjective,감정성격,에너지넘치는,full of energy
Adjective,감정성격,신나는,exciting
Adjective,감정성격,텐션높은,high tension
Adjective,감정성격,차분한,calm
Adjective,감정성격,편안한,comfortable
Adjective,감정성격,따뜻한,warm
Adjective,감정성격,포근한,cozy
Adjective,감정성격,힐링되는,healing
Adjective,감정성격,유니크한,unique
Adjective,감정성격,특별한,special
Adjective,감정성격,개성있는,distinctive
Adjective,감정성격,독특한,unique
Adjective,감정성격,오리지널,original
Adjective,감정성격,재밌는,fun
Adjective,감정성격,웃긴,funny
Adjective,감정성격,유머러스한,humorous
Adjective,감정성격,위트있는,witty
Adjective,트렌드표현,핫한,hot
Adjective,트렌드표현,트렌디한,trendy
Adjective,트렌드표현,힙한,hip
Adjective,트렌드표현,모던한,modern
Adjective,트렌드표현,스타일리시한,stylish
Adjective,트렌드표현,바이브좋은,good vibe
Adjective,트렌드표현,무드있는,moody
Adjective,트렌드표현,감성적인,emotional
Adjective,트렌드표현,로맨틱한,romantic
Adjective,트렌드표현,드리미한,dreamy
Adjective,트렌드표현,인싸인,insider
Adjective,트렌드표현,핵인싸,super insider
Adjective,트렌드표현,갓성비,god cost-performance
Adjective,트렌드표현,완벽한,perfect
Adjective,트렌드표현,레전드급,legendary
Adjective,트렌드표현,역대급,all-time best
Adjective,트렌드표현,최고의,the best
Adjective,트렌드표현,찐인,real
Adjective,트렌드표현,진짜,real
Adjective,트렌드표현,리얼,real
Adjective,음성사운드,달콤한,sweet
Adjective,음성사운드,허스키한,husky
Adjective,음성사운드,청량한,refreshing
Adjective,음성사운드,맑은,clear
Adjective,음성사운드,깨끗한,clean
Adjective,음성사운드,부드러운,soft
Adjective,음성사운드,감미로운,melodious
Adjective,음성사운드,매혹적인,enchanting
Adjective,음성사운드,섹시한,sexy
Adjective,음성사운드,깊은,deep
Adjective,음성사운드,경쾌한,light
Adjective,음성사운드,리듬감있는,rhythmic
Adjective,음성사운드,멜로디컬한,melodical
Adjective,음성사운드,하모니어스한,harmonious
Adjective,음성사운드,파워풀한,powerful
Adjective,음성사운드,강렬한,intense
Adjective,음성사운드,임팩트있는,impactful
Adjective,음성사운드,웅장한,magnificent
Noun,동물,고양이,cat
Noun,동물,강아지,puppy
Noun,동물,토끼,rabbit
Noun,동물,햄스터,hamster
Noun,동물,판다,panda
Noun,동물,코알라,koala
Noun,동물,펭귄,penguin
Noun,동물,북극곰,polar bear
Noun,동물,돌고래,dolphin
Noun,동물,고래,whale
Noun,동물,물개,seal
Noun,동물,수달,otter
Noun,동물,독수리,eagle
Noun,동물,부엉이,owl
Noun,동물,앵무새,parrot
Noun,동물,플라밍고,flamingo
Noun,동물,백조,swan
Noun,동물,사자,lion
Noun,동물,호랑이,tiger
Noun,동물,여우,fox
Noun,동물,늑대,wolf
Noun,동물,곰,bear
Noun,동물,사슴,deer
Noun,동물,유니콘,unicorn
Noun,동물,드래곤,dragon
Noun,동물,피닉스,phoenix
Noun,동물,엔젤,angel
Noun,동물,요정,fairy
Noun,디저트음식,마카롱,macaron
Noun,디저트음식,쿠키,cookie
Noun,디저트음식,케이크,cake
Noun,디저트음식,도넛,donut
Noun,디저트음식,와플,waffle
Noun,디저트음식,크루아상,croissant
Noun,디저트음식,딸기,strawberry
Noun,디저트음식,체리,cherry
Noun,디저트음식,복숭아,peach
Noun,디저트음식,망고,mango
Noun,디저트음식,바나나,banana
Noun,디저트음식,블루베리,blueberry
Noun,디저트음식,초콜릿,chocolate
Noun,디저트음식,캐러멜,caramel
Noun,디저트음식,바닐라,vanilla
Noun,디저트음식,민트,mint
Noun,디저트음식,레몬,lemon
Noun,디저트음식,오렌지,orange
Noun,색상질감,레드,red
Noun,색상질감,블루,blue
Noun,색상질감,핑크,pink
Noun,색상질감,퍼플,purple
Noun,색상질감,그린,green
Noun,색상질감,옐로우,yellow
Noun,색상질감,네온,neon
Noun,색상질감,파스텔,pastel
Noun,색상질감,메탈릭,metallic
Noun,색상질감,글리터,glitter
Noun,색상질감,홀로그램,hologram
Noun,색상질감,그라데이션,gradation
Noun,색상질감,옴브레,ombre
Noun,색상질감,타이다이,tie-dye
Noun,색상질감,마블링,marbling
Noun,감정추상,드림,dream
Noun,감정추상,희망,hope
Noun,감정추상,행복,happiness
Noun,감정추상,웃음,laughter
Noun,감정추상,기쁨,joy
Noun,감정추상,자유,freedom
Noun,감정추상,모험,adventure
Noun,감정추상,도전,challenge
Noun,감정추상,열정,passion
Noun,감정추상,꿈,dream
Noun,감정추상,마법,magic
Noun,감정추상,기적,miracle
Noun,감정추상,판타지,fantasy
Noun,감정추상,상상,imagination
Noun,감정추상,창의,creativity
Noun,감정추상,에너지,energy
Noun,감정추상,파워,power
Noun,감정추상,포스,force
Noun,감정추상,바이브,vibe
Noun,감정추상,무드,mood
Noun,음악엔터,멜로디,melody
Noun,음악엔터,리듬,rhythm
Noun,음악엔터,하모니,harmony
Noun,음악엔터,비트,beat
Noun,음악엔터,템포,tempo
Noun,음악엔터,마이크,microphone
Noun,음악엔터,헤드폰,headphones
Noun,음악엔터,스피커,speaker
Noun,음악엔터,앰프,amplifier
Noun,음악엔터,믹서,mixer
Noun,음악엔터,스테이지,stage
Noun,음악엔터,스튜디오,studio
Noun,음악엔터,콘서트,concert
Noun,음악엔터,페스티벌,festival
Noun,음악엔터,보컬,vocal
Noun,음악엔터,래퍼,rapper
Noun,음악엔터,프로듀서,producer
Noun,음악엔터,플레이리스트,playlist
Noun,음악엔터,앨범,album
Noun,음악엔터,트랙,track
Noun,음악엔터,사운드,sound
Noun,자연우주,별,star
Noun,자연우주,달,moon
Noun,자연우주,태양,sun
Noun,자연우주,구름,cloud
Noun,자연우주,무지개,rainbow
Noun,자연우주,번개,lightning
Noun,자연우주,바다,ocean
Noun,자연우주,파도,wave
Noun,자연우주,모래,sand
Noun,자연우주,산,mountain
Noun,자연우주,숲,forest
Noun,자연우주,꽃,flower
Noun,자연우주,다이아몬드,diamond
Noun,자연우주,루비,ruby
Noun,자연우주,사파이어,sapphire
Noun,자연우주,에메랄드,emerald
Noun,자연우주,펄,pearl
Noun,자연우주,오로라,aurora
Noun,자연우주,은하수,milky way
Noun,자연우주,혜성,comet
Noun,자연우주,유성,meteor
Noun,한국문화,한복,hanbok
Noun,한국문화,떡,rice cake
Noun,한국문화,김치,kimchi
Noun,한국문화,치킨,chicken
Noun,한국문화,라면,ramen
Noun,한국문화,불고기,bulgogi
Noun,한국문화,비빔밥,bibimbap
Noun,한국문화,호떡,hotteok
Noun,한국문화,붕어빵,bungeoppang
Noun,한국문화,타코야키,takoyaki
Noun,한국문화,카페,cafe
Noun,한국문화,노래방,karaoke
Noun,한국문화,찜질방,sauna
Noun,한국문화,한강,Han River
Noun,한국문화,벚꽃,cherry blossom
Noun,한국문화,단풍,autumn leaves
Noun,한국문화,눈꽃,snow flower
Noun,한국문화,오빠,oppa
Noun,한국문화,언니,unni
Noun,한국문화,형,hyung
Noun,한국문화,누나,nuna